image,predicted_label
query001.png,Crosswalk
query002.png,Palm
query003.png,Bicycle
query004.png,Traffic Light
query005.png,Bridge
query006.png,Crosswalk
query007.png,Palm
query008.png,Bicycle
query009.png,Motorcycle
query010.png,Traffic Light
query011.png,Traffic Light
query012.png,Hydrant
query013.png,Bus
query014.png,Bridge
query015.png,Bicycle
query016.png,Car
query017.png,Traffic Light
query018.png,Traffic Light
query019.png,Hydrant
query020.png,Traffic Light
query021.png,Traffic Light
query022.png,Bridge
query023.png,Hydrant
query024.png,Hydrant
query025.png,Hydrant
query026.png,Crosswalk
query027.png,Bus
query028.png,Traffic Light
query029.png,Motorcycle
query030.png,Car
query031.png,Bus
query032.png,Motorcycle
query033.png,Car
query034.png,Bridge
query035.png,Bus
query036.png,Hydrant
query037.png,Bus
query038.png,Traffic Light
query039.png,Bus
query040.png,Bus
query041.png,Car
query042.png,Car
query043.png,Chimney
query044.png,Bus
query045.png,Bicycle
query046.png,Bus
query047.png,Bus
query048.png,Bridge
query049.png,Car
query050.png,Car
query051.png,Crosswalk
query052.png,Bus
query053.png,Motorcycle
query054.png,Crosswalk
query055.png,Car
query056.png,Bus
query057.png,Motorcycle
query058.png,Bicycle
query059.png,Bicycle
query060.png,Crosswalk
query061.png,Chimney
query062.png,Bicycle
query063.png,Car
query064.png,Crosswalk
query065.png,Bridge
query066.png,Bicycle
query067.png,Hydrant
query068.png,Bridge
query069.png,Bridge
query070.png,Motorcycle
query071.png,Bus
query072.png,Crosswalk
query073.png,Crosswalk
query074.png,Bicycle
query075.png,Car
query076.png,Hydrant
query077.png,Bridge
query078.png,Bicycle
query079.png,Chimney
query080.png,Bicycle
query081.png,Hydrant
query082.png,Chimney
query083.png,Car
query084.png,Bicycle
query085.png,Car
query086.png,Car
query087.png,Car
query088.png,Bus
query089.png,Bicycle
query090.png,Bridge
query091.png,Bus
query092.png,Bicycle
query093.png,Hydrant
query094.png,Bridge
query095.png,Bicycle
query096.png,Car
query097.png,Bicycle
query098.png,Palm
query099.png,Bridge
query100.png,Bridge
