image,0,1,2,3,4,5,6,7,8,9
query001.png,Crosswalk,Bridge,Bicycle,Bicycle,Bridge,Crosswalk,Palm,Crosswalk,Palm,Crosswalk
query002.png,Palm,Car,Traffic Light,Bus,Hydrant,Bridge,Bicycle,Palm,Bus,Car
query003.png,Bicycle,Bicycle,Bicycle,Bicycle,Motorcycle,Palm,Motorcycle,Traffic Light,Motorcycle,Car
query004.png,Traffic Light,Bicycle,Palm,Hydrant,Chimney,Traffic Light,Palm,Car,Hydrant,Car
query005.png,Bridge,Hydrant,Car,Palm,Car,Palm,Palm,Crosswalk,Crosswalk,Traffic Light
query006.png,Crosswalk,Bridge,Bus,Crosswalk,Crosswalk,Bridge,Bridge,Bus,Bus,Chimney
query007.png,Palm,Bridge,Bridge,Car,Crosswalk,Traffic Light,Car,Traffic Light,Car,Car
query008.png,Bicycle,Bridge,Bus,Bridge,Bus,Bus,Bus,Bridge,Crosswalk,Bus
query009.png,Motorcycle,Palm,Traffic Light,Motorcycle,Bus,Bicycle,Traffic Light,Traffic Light,Bicycle,Bicycle
query010.png,Traffic Light,Bicycle,Bicycle,Car,Palm,Bicycle,Car,Bus,Car,Bridge
query011.png,Traffic Light,Hydrant,Chimney,Traffic Light,Palm,Traffic Light,Bicycle,Hydrant,Palm,Traffic Light
query012.png,Hydrant,Chimney,Traffic Light,Palm,Hydrant,Palm,Hydrant,Traffic Light,Palm,Chimney
query013.png,Bus,Bus,Bus,Bus,Bus,Traffic Light,Bus,Crosswalk,Bus,Bus
query014.png,Bridge,Crosswalk,Bicycle,Crosswalk,Crosswalk,Crosswalk,Bicycle,Bridge,Chimney,Bus
query015.png,Bicycle,Bus,Bus,Palm,Bus,Car,Bus,Bus,Motorcycle,Bridge
query016.png,Car,Crosswalk,Crosswalk,Car,Bridge,Hydrant,Car,Bus,Crosswalk,Traffic Light
query017.png,Traffic Light,Palm,Bridge,Traffic Light,Traffic Light,Bicycle,Traffic Light,Traffic Light,Palm,Hydrant
query018.png,Traffic Light,Hydrant,Car,Car,Crosswalk,Bridge,Palm,Crosswalk,Crosswalk,Palm
query019.png,Hydrant,Car,Bus,Car,Bus,Traffic Light,Traffic Light,Palm,Bus,Hydrant
query020.png,Traffic Light,Traffic Light,Car,Bicycle,Palm,Car,Bicycle,Bus,Car,Hydrant
query021.png,Traffic Light,Traffic Light,Chimney,Bridge,Traffic Light,Palm,Palm,Traffic Light,Bicycle,Palm
query022.png,Bridge,Bridge,Bridge,Bicycle,Bridge,Palm,Bicycle,Bus,Bridge,Motorcycle
query023.png,Hydrant,Bicycle,Chimney,Bicycle,Traffic Light,Traffic Light,Bridge,Traffic Light,Traffic Light,Palm
query024.png,Hydrant,Bicycle,Hydrant,Car,Palm,Motorcycle,Bridge,Traffic Light,Car,Car
query025.png,Hydrant,Chimney,Hydrant,Car,Bicycle,Car,Car,Car,Car,Crosswalk
query026.png,Crosswalk,Palm,Bicycle,Car,Car,Car,Bus,Chimney,Chimney,Bus
query027.png,Bus,Traffic Light,Traffic Light,Crosswalk,Car,Car,Car,Crosswalk,Bus,Car
query028.png,Traffic Light,Traffic Light,Car,Traffic Light,Car,Hydrant,Bicycle,Bridge,Traffic Light,Traffic Light
query029.png,Motorcycle,Bicycle,Motorcycle,Bus,Bus,Bus,Chimney,Bus,Crosswalk,Bicycle
query030.png,Car,Bridge,Bridge,Bus,Bridge,Car,Bridge,Bicycle,Bus,Bicycle
query031.png,Bus,Bus,Bus,Bus,Bus,Bus,Bus,Bus,Motorcycle,Bicycle
query032.png,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Bus,Bus,Bus,Bus
query033.png,Car,Crosswalk,Bridge,Bus,Hydrant,Motorcycle,Bicycle,Car,Bicycle,Car
query034.png,Bridge,Car,Traffic Light,Hydrant,Motorcycle,Motorcycle,Bus,Bicycle,Motorcycle,Bicycle
query035.png,Bus,Bus,Bus,Bus,Car,Bus,Bus,Bus,Bus,Motorcycle
query036.png,Hydrant,Car,Traffic Light,Bridge,Car,Crosswalk,Bus,Bridge,Car,Car
query037.png,Bus,Bicycle,Motorcycle,Palm,Bicycle,Bicycle,Bus,Palm,Palm,Bicycle
query038.png,Traffic Light,Bridge,Crosswalk,Traffic Light,Crosswalk,Crosswalk,Bus,Bus,Bridge,Bus
query039.png,Bus,Bus,Bicycle,Car,Bus,Bus,Bus,Hydrant,Bus,Bus
query040.png,Bus,Bus,Crosswalk,Hydrant,Bicycle,Bicycle,Car,Bus,Bus,Bridge
query041.png,Car,Bus,Crosswalk,Car,Bus,Bicycle,Chimney,Bicycle,Bus,Bus
query042.png,Car,Bus,Bridge,Car,Bridge,Bridge,Bridge,Bus,Bus,Crosswalk
query043.png,Chimney,Bus,Crosswalk,Bicycle,Palm,Chimney,Crosswalk,Traffic Light,Bus,Palm
query044.png,Bus,Motorcycle,Bus,Motorcycle,Bicycle,Motorcycle,Motorcycle,Bus,Motorcycle,Crosswalk
query045.png,Bicycle,Bridge,Traffic Light,Bicycle,Bicycle,Car,Bridge,Traffic Light,Traffic Light,Bridge
query046.png,Bus,Bus,Motorcycle,Bus,Bus,Bus,Bicycle,Motorcycle,Bus,Bus
query047.png,Bus,Bicycle,Traffic Light,Bicycle,Bus,Bridge,Bus,Bicycle,Motorcycle,Bicycle
query048.png,Bridge,Hydrant,Bus,Bus,Crosswalk,Bridge,Crosswalk,Crosswalk,Crosswalk,Car
query049.png,Car,Bus,Crosswalk,Bus,Bicycle,Bicycle,Bridge,Bridge,Bicycle,Car
query050.png,Car,Traffic Light,Hydrant,Chimney,Palm,Palm,Bicycle,Traffic Light,Palm,Bicycle
query051.png,Crosswalk,Bus,Crosswalk,Bicycle,Crosswalk,Bicycle,Bicycle,Car,Crosswalk,Bridge
query052.png,Bus,Crosswalk,Bus,Bicycle,Bus,Bicycle,Bridge,Bus,Car,Bus
query053.png,Motorcycle,Motorcycle,Motorcycle,Palm,Chimney,Bus,Palm,Motorcycle,Bus,Motorcycle
query054.png,Crosswalk,Bicycle,Crosswalk,Crosswalk,Bicycle,Bridge,Bridge,Chimney,Bridge,Palm
query055.png,Car,Hydrant,Bridge,Bicycle,Crosswalk,Hydrant,Car,Bicycle,Car,Bus
query056.png,Bus,Bicycle,Bicycle,Bus,Bicycle,Bus,Bicycle,Bridge,Bridge,Car
query057.png,Motorcycle,Bicycle,Bicycle,Motorcycle,Motorcycle,Bicycle,Bus,Bus,Motorcycle,Traffic Light
query058.png,Bicycle,Traffic Light,Traffic Light,Car,Hydrant,Hydrant,Hydrant,Hydrant,Hydrant,Hydrant
query059.png,Bicycle,Traffic Light,Car,Bus,Car,Car,Crosswalk,Crosswalk,Palm,Crosswalk
